"titulo","url","categoria"
"Morre aos 80 anos Duino Verri Fernandes, ex-vice-prefeito de Guarujá","https://www.atribuna.com.br/cidades/guaruja/morre-aos-80-anos-duino-verri-fernandes-ex-vice-prefeito-de-guaruja-1.527033","Guarujá"
"Seleção oferece 25 vagas para guarda-vidas em cidade do litoral de São Paulo; veja requisitos","https://www.atribuna.com.br/cidades/guaruja/selec-o-oferece-25-vagas-para-guarda-vidas-em-cidade-do-litoral-de-s-o-paulo-veja-requisitos-1.526818","Oportunidade"
"Guarujá encerra dia 31 pedidos de isenção e desconto no IPTU; veja quem tem direito","https://www.atribuna.com.br/cidades/guaruja/guaruja-encerra-dia-31-pedidos-de-isenc-o-e-desconto-no-iptu-veja-quem-tem-direito-1.526820","IMPOSTOS"
"Orla famosa do litoral de SP terá reforma de R$ 35 milhões; veja como vai ficar","https://www.atribuna.com.br/cidades/guaruja/orla-famosa-do-litoral-de-sp-tera-reforma-de-r-35-milh-es-veja-como-vai-ficar-1.526572","REFORMULAÇÃO"
"Guarujá recebe festival japonês que deve atrair até 20 mil pessoas","https://www.atribuna.com.br/cidades/guaruja/guaruja-recebe-festival-japones-que-deve-atrair-ate-20-mil-pessoas-1.526421","Guarujá"
"Mega-Sena: jogo de Guarujá, no litoral de São Paulo, chega perto de ganhar R$ 49 milhões; confira","https://www.atribuna.com.br/cidades/guaruja/mega-sena-jogo-de-guaruja-no-litoral-de-s-o-paulo-chega-perto-de-ganhar-r-49-milh-es-confira-1.526466","Bateu na trave"
"Após perder a tia para o câncer, sobrinha cria projeto que acolhe mais de 60 pacientes por mês","https://www.atribuna.com.br/cidades/guaruja/apos-perder-a-tia-para-o-cancer-sobrinha-cria-projeto-que-acolhe-mais-de-60-pacientes-por-mes-1.526001","guarujá"
"Operação Ferro Velho autua três estabelecimentos em cidade do litoral de São Paulo","https://www.atribuna.com.br/cidades/guaruja/operac-o-ferro-velho-autua-tres-estabelecimentos-em-cidade-do-litoral-de-s-o-paulo-1.525678","FISCALIZAÇÃO"
"Guarujá terá interdições no trânsito; saiba quais","https://www.atribuna.com.br/cidades/guaruja/guaruja-tera-interdic-es-no-transito-saiba-quais-1.525773","DE OLHO"
"Guarujá recebe ações de saúde com transporte gratuito; veja os serviços","https://www.atribuna.com.br/cidades/guaruja/guaruja-recebe-ac-es-de-saude-com-transporte-gratuito-veja-os-servicos-1.525601","Prevenção"
"Guarujá cria comitê para enfrentar crise provocada por falta de água","https://www.atribuna.com.br/cidades/guaruja/guaruja-cria-comite-para-enfrentar-crise-provocada-por-falta-de-agua-1.524406","Desabastecimento"
"Guarujá entrega mais duas escolas reformadas e amplia pacote de revitalizações","https://www.atribuna.com.br/cidades/guaruja/guaruja-entrega-mais-duas-escolas-reformadas-e-amplia-pacote-de-revitalizac-es-1.523929","Educação"
"Moradores relatam falta de água durante incêndio que matou menina de 3 anos em Guarujá","https://www.atribuna.com.br/cidades/guaruja/moradores-relatam-falta-de-agua-durante-incendio-que-matou-menina-de-3-anos-em-guaruja-1.524074","litoral de são paulo"
"Praia de Guarujá, no litoral de São Paulo, terá festival de cultura japonesa; veja dias e horários","https://www.atribuna.com.br/cidades/guaruja/praia-de-guaruja-no-litoral-de-s-o-paulo-tera-festival-de-cultura-japonesa-veja-dias-e-horarios-1.523548","Novidade"
"Fenômeno El Niño faz Guarujá antecipar plano de prevenção contra chuva intensa no litoral de São Paulo","https://www.atribuna.com.br/cidades/guaruja/fenomeno-el-ni-o-faz-guaruja-antecipar-plano-de-prevenc-o-contra-chuva-intensa-no-litoral-de-s-o-paulo-1.523545","Plano de emergência"
"Espaço que já foi lixão irregular vira nova área verde no litoral de São Paulo","https://www.atribuna.com.br/cidades/guaruja/espaco-que-ja-foi-lix-o-irregular-vira-nova-area-verde-no-litoral-de-s-o-paulo-1.523621","Guarujá"
"Praia de Guarujá, no litoral de São Paulo, segue imprópria para banho e entre as mais poluídas do Estado; veja qual é","https://www.atribuna.com.br/cidades/guaruja/praia-de-guaruja-no-litoral-de-s-o-paulo-segue-impropria-para-banho-e-entre-as-mais-poluidas-do-estado-veja-qual-e-1.523287","Poluição"
"Guarujá busca empréstimo de R$ 20 milhões para novo pronto-socorro e reformas na Saúde","https://www.atribuna.com.br/cidades/guaruja/guaruja-busca-emprestimo-de-r-20-milh-es-para-novo-pronto-socorro-e-reformas-na-saude-1.523340","SAÚDE PÚBLICA"
"Guarujá ganhará nova escola de tempo integral para até 780 alunos com investimento de R$ 20 milhões","https://www.atribuna.com.br/cidades/guaruja/guaruja-ganhara-nova-escola-de-tempo-integral-para-ate-780-alunos-com-investimento-de-r-20-milh-es-1.523033","Educação"
"Mega-Sena: jogo de Guarujá 'bate na trave' e quase ganha R$ 69 milhões no litoral de São Paulo; confira","https://www.atribuna.com.br/cidades/guaruja/mega-sena-jogo-de-guaruja-bate-na-trave-e-quase-ganha-r-69-milh-es-no-litoral-de-s-o-paulo-confira-1.523138","Loteria"
