"titulo","url","categoria"
"Preparativos à festa da Padroeira em Santos já movimentam o Monte Serrat","https://www.atribuna.com.br/cidades/santos/preparativos-a-festa-da-padroeira-em-santos-ja-movimentam-o-monte-serrat-1.526975","Tradição"
"Ondas acima de 3 metros atingem o litoral de São Paulo e fecham o maior porto do Hemisfério Sul","https://www.atribuna.com.br/cidades/santos/ondas-acima-de-3-metros-atingem-o-litoral-de-s-o-paulo-e-fecham-o-maior-porto-do-hemisferio-sul-1.527027","Maré agitada"
"Santos ganha nova estação para reforçar reciclagem em área com mais de 7 mil metros quadrados","https://www.atribuna.com.br/cidades/santos/santos-ganha-nova-estac-o-para-reforcar-reciclagem-em-area-com-mais-de-7-mil-metros-quadrados-1.526972","Novo espaço"
"Aquário de Santos ganha previsão de reabertura após mais de um ano fechado","https://www.atribuna.com.br/cidades/santos/aquario-de-santos-ganha-previs-o-de-reabertura-apos-mais-de-um-ano-fechado-1.526816","PONTA DA PRAIA"
"Ela passou mal no vestibular de Medicina; 10 anos depois, é médica em Santos","https://www.atribuna.com.br/cidades/santos/ela-passou-mal-no-vestibular-de-medicina-10-anos-depois-e-medica-em-santos-1.526803","HISTÓRIA DE SUPERAÇÃO"
"VLT de Santos seguirá gratuito até instalação de portas automáticas; veja previsão","https://www.atribuna.com.br/cidades/santos/vlt-de-santos-seguira-gratuito-ate-instalac-o-de-portas-automaticas-veja-previs-o-1.526827","MOBILIDADE"
"Idosa cai após guarda-corpo ceder durante exercício em Santos, no litoral de São Paulo","https://www.atribuna.com.br/cidades/santos/idosa-cai-apos-guarda-corpo-ceder-durante-exercicio-em-santos-no-litoral-de-s-o-paulo-1.526641","SUSTO NA ORLA"
"Santos abre inscrição para curso gratuito visando geração de trabalho e renda no setor portuário","https://www.atribuna.com.br/cidades/santos/santos-abre-inscric-o-para-curso-gratuito-visando-gerac-o-de-trabalho-e-renda-no-setor-portuario-1.526658","Qualificação"
"Artista troca obra por pintura de Benedicto Calixto para presentear o avô e leva história a exposição em Santos","https://www.atribuna.com.br/cidades/santos/artista-troca-obra-por-pintura-de-benedicto-calixto-para-presentear-o-avo-e-leva-historia-a-exposic-o-em-santos-1.526711","exposição"
"Land Rover pega fogo em rua de Santos e mobiliza Corpo de Bombeiros; VÍDEO","https://www.atribuna.com.br/cidades/santos/land-rover-pega-fogo-em-rua-de-santos-e-mobiliza-corpo-de-bombeiros-video-1.526634","EM CHAMAS"
"Propaganda eleitoral é liberada, mas ruas de Santos seguem sem santinhos e candidatos","https://www.atribuna.com.br/cidades/santos/propaganda-eleitoral-e-liberada-mas-ruas-de-santos-seguem-sem-santinhos-e-candidatos-1.526143","eleições"
"Mãe idosa e filho ficam presos em elevador da Caixa e precisam de resgate dos Bombeiros em Santos","https://www.atribuna.com.br/cidades/santos/m-e-idosa-e-filho-ficam-presos-em-elevador-da-caixa-e-precisam-de-resgate-dos-bombeiros-em-santos-1.526238","presos em elevador"
"Mureta da Ponta da Praia pode ser tombada em Santos após mais de 80 anos","https://www.atribuna.com.br/cidades/santos/mureta-da-ponta-da-praia-pode-ser-tombada-em-santos-apos-mais-de-80-anos-1.525710","PATRIMÔNIO SANTISTA"
"CET explica por que semáforos causaram lentidão no Centro de Santos","https://www.atribuna.com.br/cidades/santos/cet-explica-por-que-semaforos-causaram-lentid-o-no-centro-de-santos-1.526123","falta de sincronia"
"Orla da praia de Santos tem reforço na sinalização em mais de 4 quilômetros de ciclovia","https://www.atribuna.com.br/cidades/santos/orla-da-praia-de-santos-tem-reforco-na-sinalizac-o-em-mais-de-4-quilometros-de-ciclovia-1.525973","Novidade"
"Novo vídeo da Tri FM no YouTube mostra áudio inusitado de ouvinte; assista","https://www.atribuna.com.br/cidades/santos/novo-video-da-tri-fm-no-youtube-mostra-audio-inusitado-de-ouvinte-assista-1.526070","YouTube"
"Turminha do Trânsito ganha novos personagens e leva inclusão para escolas de Santos","https://www.atribuna.com.br/cidades/santos/turminha-do-transito-ganha-novos-personagens-e-leva-inclus-o-para-escolas-de-santos-1.525724","INICIATIVA"
"Entre prédios gigantes de Santos, chalés de madeira guardam histórias que o tempo quase apagou","https://www.atribuna.com.br/cidades/santos/entre-predios-gigantes-de-santos-chales-de-madeira-guardam-historias-que-o-tempo-quase-apagou-1.525839","raras mas existem"
"Santos libera imagens de câmeras para vítimas de acidentes e crimes; saiba como fazer","https://www.atribuna.com.br/cidades/santos/santos-libera-imagens-de-cameras-para-vitimas-de-acidentes-e-crimes-saiba-como-fazer-1.525875","Segurança pública"
"Lixo toma avenida após evento no Sambódromo na Zona Noroeste de Santos; VÍDEO","https://www.atribuna.com.br/cidades/santos/lixo-toma-avenida-apos-evento-no-sambodromo-na-zona-noroeste-de-santos-video-1.525962","Santos"
